year,context,count
2010,neurodegeneration,22
2010,tumor_metastasis,23
2010,cardiac_repair,2
2011,neurodegeneration,38
2011,tumor_metastasis,30
2011,cardiac_repair,1
2012,neurodegeneration,50
2012,tumor_metastasis,51
2012,cardiac_repair,5
2013,neurodegeneration,50
2013,tumor_metastasis,86
2013,cardiac_repair,8
2014,neurodegeneration,76
2014,tumor_metastasis,135
2014,cardiac_repair,12
2015,neurodegeneration,97
2015,tumor_metastasis,210
2015,cardiac_repair,29
2016,neurodegeneration,136
2016,tumor_metastasis,261
2016,cardiac_repair,32
2017,neurodegeneration,171
2017,tumor_metastasis,344
2017,cardiac_repair,61
2018,neurodegeneration,211
2018,tumor_metastasis,503
2018,cardiac_repair,81
2019,neurodegeneration,303
2019,tumor_metastasis,609
2019,cardiac_repair,84
2020,neurodegeneration,385
2020,tumor_metastasis,845
2020,cardiac_repair,140
2021,neurodegeneration,485
2021,tumor_metastasis,994
2021,cardiac_repair,154
2022,neurodegeneration,463
2022,tumor_metastasis,945
2022,cardiac_repair,121
2023,neurodegeneration,533
2023,tumor_metastasis,942
2023,cardiac_repair,131
2024,neurodegeneration,610
2024,tumor_metastasis,958
2024,cardiac_repair,133
2025,neurodegeneration,780
2025,tumor_metastasis,1123
2025,cardiac_repair,187
2026,neurodegeneration,154
2026,tumor_metastasis,195
2026,cardiac_repair,33
