pathway,paper_context,evidence_role,pmid,doi,pubdate,journal,title,title_directionality,mechanistic_confidence_strict,in_vivo,in_vitro,human_samples,causal_perturbation,ev_isolation,ev_markers,context_endpoint_match,donor_cell_source_manual,recipient_cell_or_tissue_manual,primary_endpoint_manual,effect_direction_manual,causal_perturbation_detail_manual,risk_of_bias_notes_manual,final_include_manual,reviewer_priority_manual
Integrin/Src,tumor_metastasis,donor_context_evidence,40120799,10.1016/j.canlet.2025.217636,2025 Sep 1,Cancer letters,Lactate accumulation drives hepatocellular carcinoma metastasis through facilitating tumor-derived exosome biogenesis by Rab7A lactylation.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence,40632854,10.1126/sciadv.adr5635,2025 Jul 11,Science advances,Extracellular vesicle-hitchhiking nanoliposomes for cancer-associated fibroblast phenotype modulation impede metastasis progression.,inhibitory_or_protective,Moderate,True,True,True,False,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence,36800996,10.1016/j.devcel.2023.01.006,2023 Feb 27,Developmental cell,GPR143 controls ESCRT-dependent exosome biogenesis and promotes cancer metastasis.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence,26524530,10.1038/nature15756,2015 Nov 19,Nature,Tumour exosome integrins determine organotropic metastasis.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,cardiac_repair,target_context_evidence,37237266,10.1186/s12916-023-02887-7,2023 May 26,BMC medicine,Adipsin alleviates cardiac microvascular injury in diabetic cardiomyopathy through Csk-dependent signaling mechanism.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,cardiac_repair,target_context_evidence,33092465,10.1161/CIRCRESAHA.120.317244,2021 Jan 8,Circulation research,Mir-30d Regulates Cardiac Remodeling by Intracellular and Paracrine Signaling.,neutral_or_unspecified,High,True,True,True,True,False,True,True,,,,,,,,
Integrin/Src,cardiac_repair,target_context_evidence,32259654,10.1016/j.biomaterials.2020.120010,2020 Jul,Biomaterials,Deterministic paracrine repair of injured myocardium using microfluidic-based cocooning of heart explant-derived cells.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,cardiac_repair,target_context_evidence,31815595,10.1161/CIRCRESAHA.119.315829,2020 Jan 31,Circulation research,Interleukin-10 Deficiency Alters Endothelial Progenitor Cell-Derived Exosome Reparative Effect on Myocardial Repair via Integrin-Linked Kinase Enrichment.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,neurodegeneration,donor_context_evidence,39641313,10.1002/jev2.70018,2024 Dec,Journal of extracellular vesicles,Dopamine-conjugated extracellular vesicles induce autophagy in Parkinson's disease.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,neurodegeneration,donor_context_evidence,38881515,10.1002/advs.202400480,2024 Aug,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Extracellular Matrix Remodeling Alleviates Memory Deficits in Alzheimer's Disease by Enhancing the Astrocytic Autophagy-Lysosome Pathway.,inhibitory_or_protective,Moderate,True,False,True,True,True,True,True,,,,,,,,
Autophagy,neurodegeneration,donor_context_evidence,37867176,10.1038/s41392-023-01657-4,2023 Oct 23,Signal transduction and targeted therapy,Fe65-engineered neuronal exosomes encapsulating corynoxine-B ameliorate cognition and pathology of Alzheimer's disease.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,neurodegeneration,donor_context_evidence,36106817,10.1080/21678421.2022.2119868,2023 May,Amyotrophic lateral sclerosis & frontotemporal degeneration,Combination of ciprofloxacin/celecoxib as a novel therapeutic strategy for ALS.,neutral_or_unspecified,Moderate,True,False,True,True,True,True,True,,,,,,,,
Autophagy,neurodegeneration,donor_context_evidence,32355963,10.1093/brain/awaa090,2020 May 1,Brain : a journal of neurology,Microglial exosomes facilitate α-synuclein transmission in Parkinson's disease.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,cardiac_repair,target_context_evidence,41163081,10.1186/s13287-025-04715-6,2025 Oct 29,Stem cell research & therapy,Empagliflozin-pretreated BMSC exosomes attenuate myocardial ischemia-reperfusion injury by enhancing atad3a/pink1-dependent mitophagy.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,cardiac_repair,target_context_evidence,40131367,10.1172/JCI179262,2025 May 1,The Journal of clinical investigation,Long noncoding RNA BCYRN1 promotes cardioprotection by enhancing human and murine regulatory T cell dynamics.,mixed,High,True,True,True,True,True,False,True,,,,,,,,
Autophagy,cardiac_repair,target_context_evidence,38606373,10.2147/IJN.S454277,2024,International journal of nanomedicine,Engineered Exosomes with Growth Differentiation Factor-15 Overexpression Enhance Cardiac Repair After Myocardial Injury.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,cardiac_repair,target_context_evidence,34166712,10.1016/j.lfs.2021.119742,2021 Sep 1,Life sciences,Mesenchymal stem cell-derived exosomal miR-143-3p suppresses myocardial ischemia-reperfusion injury by regulating autophagy.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Autophagy,cardiac_repair,target_context_evidence,32131688,10.1161/JAHA.119.014345,2020 Mar 17,Journal of the American Heart Association,Exosomes From Induced Pluripotent Stem Cell-Derived Cardiomyocytes Promote Autophagy for Myocardial Repair.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,tumor_metastasis,donor_context_evidence,39979806,10.1186/s10020-025-01112-w,2025 Feb 20,"Molecular medicine (Cambridge, Mass.)",Cancer-secreted exosomal miR-1246 promotes colorectal cancer liver metastasis by activating hepatic stellate cells.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,tumor_metastasis,donor_context_evidence,36482201,10.1038/s41388-022-02560-y,2023 Feb,Oncogene,Tumour-derived exosomal piR-25783 promotes omental metastasis of ovarian carcinoma by inducing the fibroblast to myofibroblast transition.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,tumor_metastasis,donor_context_evidence,38105247,10.1038/s41392-023-01711-1,2023 Dec 18,Signal transduction and targeted therapy,Simultaneously targeting extracellular vesicle trafficking and TGF-β receptor kinase activity blocks signaling hyperactivation and metastasis.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,tumor_metastasis,donor_context_evidence,37832408,10.1016/j.biopha.2023.115663,2023 Dec,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Inhibition of murine colorectal cancer metastasis by targeting M2-TAM through STAT3/NF-kB/AKT signaling using macrophage 1-derived extracellular vesicles loaded with oxaliplatin, retinoic acid, and Libidibia ferrea.",inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,tumor_metastasis,donor_context_evidence,34958869,10.1016/j.cellsig.2021.110230,2022 Mar,Cellular signalling,Integration of exosomal miR-106a and mesothelial cells facilitates gastric cancer peritoneal dissemination.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,cardiac_repair,target_context_evidence,41631339,10.1096/fj.202501842RR,2026 Feb 15,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Rosmarinic Acid-Treated Exosomes Modulate TGF-β1/Smad3 Signaling to Alleviate Cardiac Fibrosis in an In Vitro/In Vivo Model.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,cardiac_repair,target_context_evidence,40857022,10.1096/fj.202501080RR,2025 Aug 31,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Molecular Mechanisms of Myocardial Repair and Cardiac Function Improvement With Hydrogel-Mediated Macrophage-Derived Exosome Delivery.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
TGF-beta,cardiac_repair,target_context_evidence,39253060,10.2147/IJN.S463477,2024,International journal of nanomedicine,Ischemic-Preconditioning Induced Serum Exosomal miR-133a-3p Improved Post-Myocardial Infarction Repair via Targeting LTBP1 and PPP2CA.,inhibitory_or_protective,High,True,True,True,True,True,True,True,,,,,,,,
Wnt,tumor_metastasis,donor_context_evidence,40750784,10.1038/s41419-025-07871-y,2025 Aug 1,Cell death & disease,SORT1 promote the metastasis and invasion of hepatocellular carcinoma via p38/β-catenin/ZEB1 signaling pathway.,promoting,Moderate,True,True,True,True,False,False,True,,,,,,,,
Wnt,tumor_metastasis,donor_context_evidence,39020380,10.1186/s13046-024-03107-7,2024 Jul 17,Journal of experimental & clinical cancer research : CR,The RP11-417E7.1/THBS2 signaling pathway promotes colorectal cancer metastasis by activating the Wnt/β-catenin pathway and facilitating exosome-mediated M2 macrophage polarization.,promoting,High,True,True,True,True,False,True,True,,,,,,,,
Wnt,tumor_metastasis,donor_context_evidence,31064356,10.1186/s12943-019-1019-x,2019 May 7,Molecular cancer,CAFs secreted exosomes promote metastasis and chemotherapy resistance by enhancing cell stemness and epithelial-mesenchymal transition in colorectal cancer.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence_replacement,39329462,10.1002/jev2.12518,2024 Oct,Journal of extracellular vesicles,Integrin α6-containing extracellular vesicles promote lymphatic remodelling for pre-metastatic niche formation in lymph nodes via interplay with CD151.,promoting,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence_replacement,40410902,10.1186/s13046-025-03418-3,2025 May 23,Journal of experimental & clinical cancer research : CR,Characterization of extracellular vesicle-associated DNA and proteins derived from organotropic metastatic breast cancer cells.,neutral_or_unspecified,High,True,True,True,True,True,True,True,,,,,,,,
Integrin/Src,tumor_metastasis,donor_context_evidence_replacement,39494337,10.7150/ijbs.94153,2024,International journal of biological sciences,Breast cancer-derived CAV1 promotes lung metastasis by regulating integrin α6β4 and the recruitment and polarization of tumor-associated neutrophils.,promoting,High,True,True,True,True,False,True,True,,,,,,,,
